,image_name,R_Nose_Con_Bk,M_Nose_Up,Nose_Bridge_Fr_Bk,L_Nose_Con_Up,L_Nose_Con_Fr,Nose_Tip_Fr_Bk,Nostril_Curvature,L_Nose_Con_Out,Nose_Bridge_Side_Scale,Nose_Tip_Scale,Nosebridge_Bump_Up_Dn,M_Nose_Fr,Nose_Tip_Lt_Rt,Nosebridge_Bump_In_Out,R_Nose_Con_Up,Nosebridge_Bump_Fr_Bk,Nose_Tip_Up_Dn,R_Nose_Con_Out,Nose_Bridge_Up_Dn
0,3a9c9390-d9a2-42fe-b80d-64ccafc03d61U84l2rwsRBQifDiR.png,0.0,-33.63518175882121,-1.8136033287893523,-8.070794446271707,0.0,4.8,18.751497864988654,17.078158854299748,-8.703949529301225,34.400000000000006,-50.0,15.78,0.0,52.3119058313787,-8.070794446271707,3.1999999999999997,-60.0,17.078158854299748,26.060028559909913
1,3bf11760-56b7-42fd-8151-0777031879e7VokrUA_udjAtJfIz.png,0.0,-39.48122557024786,21.675995219435492,-37.277413224759414,0.0,15.600000000000001,-13.155666659089077,-164.3636799198814,-36.73550234731031,10.0,-32.8,15.78,0.0,12.837426267128679,-37.277413224759414,-10.400000000000002,-68.4,-164.3636799198814,-18.566784232033985
2,3aeb398a-f1c1-469e-9867-c4afde25f101WTmfeWEz4T0QeXga.png,0.0,-40.584015702729545,-2.634626574851054,9.249317546802125,0.0,9.6,18.067646670994105,115.81964098846642,-44.191075440494345,11.6,-20.0,15.78,0.0,75.61521437148679,9.249317546802125,7.6,-54.0,115.81964098846642,-21.735550297135426
3,3bf4e71e-f3c6-4122-a7dd-c53d9ae5f53eUrRFtrwsRFoL8cQO.png,0.0,-29.810784881243805,12.73984984798356,6.385939282686902,0.0,9.6,38.12369657750112,82.17669657787152,-41.63719645939072,11.6,-20.0,15.78,0.0,78.3687831295634,6.385939282686902,7.6,-54.0,82.17669657787152,-35.37856275248677
4,3c401c12-f3c1-49c1-bb4e-d98e974395dfVvy70OX1BkqBOWZB.png,0.0,-25.679402602545334,28.825031183931454,-14.85259193109728,0.0,4.8,-6.428818283855941,-13.040406271407193,-32.79934693294579,34.400000000000006,-50.0,15.78,0.0,7.204926417876477,-14.85259193109728,3.1999999999999997,-60.0,-13.040406271407193,4.537971719065574
5,3c039f67-d3b0-4eac-b55b-2028d2448f53WRxmM7EWpjqOdh4q.png,0.0,-89.71840664940869,49.09983750773339,15.700616515848488,0.0,9.6,-19.870806165407206,97.66076133303366,-50.4361141430427,11.6,-20.0,15.78,0.0,65.34683154952529,15.700616515848488,7.6,-54.0,97.66076133303366,-31.556379961853644
6,3b42c878-e7d5-493a-984b-c1707c1a540bUnYw2bwsRDDnlP4q.png,0.0,-27.218025425157133,12.448078234764502,-11.331935421100532,0.0,4.8,20.877154720484423,7.926220833914254,-18.60401308744993,34.400000000000006,-50.0,15.78,0.0,28.830255381428096,-11.331935421100532,3.1999999999999997,-60.0,7.926220833914254,20.184103888749362
7,3b2c3dc2-54e2-4f1b-bf34-2e5e63dc0e19U8zJ17kTDCo7uvcp.png,0.0,-11.25872200972472,45.95115283794912,-15.581449396741412,0.0,4.8,-4.882814456592049,-75.82246135679382,-30.891142312793086,34.400000000000006,-50.0,15.78,0.0,8.885931700609692,-15.581449396741412,3.1999999999999997,-60.0,-75.82246135679382,-4.613353804192258
8,3b014afe-0b58-48bd-ac05-914ba8154388VWL7KBQ1GDoG8j54.png,0.0,-60.01058306142441,19.413865208050957,8.52089112331711,0.0,9.6,6.808553093970855,94.48548618439813,-57.3446114313779,11.6,-20.0,15.78,0.0,54.80101133135601,8.52089112331711,7.6,-54.0,94.48548618439813,-38.409354881337315
9,3c196c12-e922-4104-8b6a-794143e5f97eUoSJ_rkTDEYaNV7D.png,0.0,-38.78238154656792,41.95159171181783,-17.76356656469629,0.0,9.6,6.6787701790798,6.146037125167261,-52.111170568888234,11.6,-20.0,15.78,0.0,62.04836666868188,-17.76356656469629,7.6,-54.0,6.146037125167261,-36.228613990873264
